Inline	Crossline	Time(ms)	Density(Kg/m3)	Sonic(Microseconds/meter)	Gamma_Ray(API)	Porosity(Fraction)	P_Impedance(Meter/second x Kg/m3)	P_Impedance_rel(Meter/second x Kg/m3)	Vp(Meter/second)	Density_edited(Kg/m3)
362	336	-5.31122684	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-5.14447355	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-4.97772264	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-4.81096745	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-4.64421654	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-4.47746325	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-4.31071234	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-4.14395714	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-3.97720599	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-3.81045294	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-3.64370203	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-3.47694898	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-3.31019592	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-3.14344478	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-2.97668982	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-2.80993843	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-2.64318538	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-2.47643447	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-2.30967927	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-2.14292836	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-1.97617495	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-1.80942416	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-1.64266884	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-1.47591794	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-1.30916703	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-1.14241385	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-0.9756608	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-0.80890763	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-0.64215672	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-0.47540137	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-0.30865046	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	-0.14189722	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	0.02485369	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	0.19160901	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	0.35835987	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	0.52511072	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	0.69186407	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	0.85861695	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	1.02537036	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	1.19212115	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	1.35887444	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	1.52562737	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	1.69238067	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	1.85913146	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	2.02588701	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	2.19263768	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	2.3593905	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	2.52614188	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	2.6928947	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	2.85964608	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	3.0263989	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	3.19315457	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	3.3599031	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	3.52665854	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	3.69341135	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	3.86016273	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	4.02691555	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	4.19366693	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	4.36041975	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	4.52717257	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	4.69392395	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	4.86067677	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	5.02743244	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	5.19418097	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	5.36093616	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	5.52768898	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	5.69444036	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	5.86119318	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	6.02794504	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	6.19469786	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	6.36145067	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	6.52820206	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	6.6949544	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	6.86171007	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	7.0284586	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	7.19521427	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	7.36196709	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	7.52871847	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	7.69547129	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	7.86222219	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	8.02897549	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	8.1957283	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	8.36247921	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	8.52923203	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	8.6959877	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	8.8627367	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	9.02949142	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	9.19624043	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	9.3629961	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	9.52974892	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	9.69650078	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	9.86325359	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	10.03	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	10.19675732	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	10.36351013	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	10.53026581	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	10.69701481	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	10.86376953	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	11.03051853	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	11.19727421	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	11.36402702	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	11.53077793	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	11.69753075	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	11.86428642	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	12.03103542	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	12.19778824	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	12.36453915	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	12.53129196	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	12.69804764	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	12.86479664	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	13.03155231	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	13.19830513	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	13.36505604	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	13.53180885	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	13.69856453	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	13.86531353	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	14.03206635	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	14.19881725	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	14.36557007	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	14.53232574	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	14.69907475	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	14.86582947	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	15.03258228	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	15.19933414	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	15.36608696	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	15.53284264	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
362	336	15.69959164	1e30	1e30	1e30	1e30	1e30	1e30	1e30	1e30
