Inline	Crossline	Time(ms)	Density(kg/m3)	Sonic(us/m)	Gamma_Ray(API)	Porosity(fraction)	P_Impedance(Kg/m2s)	P_Impedance_rel(Kg/m2s)	Vp(Meter/second)
442	1007	248.78317261	2112.1	1e30	26.35	0.3362	4319070	-1626.69030762	1e30
442	1007	248.94276428	2112.1	1e30	26.34989548	0.3362	4319180	-1333.45056152	1e30
442	1007	249.10237122	2112.1	1e30	25.8363	0.3362	4319290	-1041.35998535	1e30
442	1007	249.26196289	2112.17993164	1e30	25.498	0.3362	4319570	-749.27197266	1e30
442	1007	249.42155457	2112.2	1e30	24.70840073	0.3361	4319710	-457.18301392	1e30
442	1007	249.58119202	2112.2	1e30	24.30744362	0.3361	4319820	-165.03456116	1e30
442	1007	249.74079895	2112.2	1e30	23.53706169	0.3361	4319930	127.04847717	1e30
442	1007	249.90039063	2112.2	1e30	23.35	0.3361	4320040	394.83499146	1e30
442	1007	250.06	2112.2800293	1e30	23.35	0.3361	4320300	648.85198975	1e30
442	1007	250.21958923	2112.3	1e30	24.0196	0.3361	4320460	902.86901855	1e30
442	1007	250.37921143	2112.29980469	1e30	24.90524864	0.3361	4320570	1156.94165039	1e30
442	1007	250.53881836	2112.3	1e30	25.15004349	0.336	4320680	1410.95166016	1e30
442	1007	250.69841003	2112.37011719	1e30	25.35880089	0.336	4320930	1664.9699707	1e30
442	1007	250.85800171	2112.4	1e30	25.45	0.336	4321100	1895.47998047	1e30
442	1007	251.01759338	2112.4	1e30	25.45	0.336	4321210	2089.36010742	1e30
442	1007	251.17724609	2112.4	1e30	25.83901978	0.336	4321310	2283.27929688	1e30
442	1007	251.33686829	2112.4	1e30	26.42934418	0.336	4321420	2477.15942383	1e30
442	1007	251.49645996	2112.45996094	1e30	26.65	0.336	4321660	2671.0300293	1e30
442	1007	251.65608215	2112.5	1e30	26.65	0.3359	4321850	2864.90991211	1e30
442	1007	251.81570435	2112.5	1e30	25.42379951	0.3359	4321960	3048.37011719	1e30
442	1007	251.97535706	2112.5	1e30	24.55	0.3359	4322060	3169.3347168	1e30
442	1007	252.13494873	2112.50024414	1e30	24.55	0.3359	4322170	3290.2746582	1e30
442	1007	252.29457092	2112.55004883	1e30	24.55	0.3359	4322390	3411.2199707	1e30
442	1007	252.45419312	2112.6	1e30	23.926	0.3359	4322590	3532.15991211	1e30
442	1007	252.61378479	2112.6	1e30	23.04759979	0.3359	4322700	3653.1	1e30
442	1007	252.7734375	2112.6	1e30	22.75	0.3359	4322810	3774.05078125	1e30
442	1007	252.93305969	2112.64990234	1e30	22.75	0.3359	4323020	3828.16918945	1e30
442	1007	253.09265137	2112.7	1e30	22.75	0.3358	4323230	3874.49	1e30
442	1007	253.25227356	2112.7	1e30	22.22190094	0.3358	4323340	3920.82006836	1e30
442	1007	253.41189575	2112.7	1e30	21.372	0.3358	4323450	3967.14990234	1e30
442	1007	253.5715332	2112.70019531	1e30	20.81170654	0.3358	4323560	4013.47949219	1e30
442	1007	253.73112488	2112.74	1e30	20.35	0.3358	4323750	4059.80102539	1e30
