Inline	Crossline	Time(ms)	Density(Kg/m3)	Sonic(Microseconds/meter)	Gamma_Ray(API)	Porosity(Fraction)	P_Impedance(Meter/second x Kg/m3)	P_Impedance_rel(Meter/second x Kg/m3)	Vp(Meter/second)
722	848	1344.01660156	2093.02001953	499.8420105	68.44860077	0.3481	4187680	-9825.20019531	2000.62
722	848	1344.16845703	2084.37011719	504.74798584	69.46649933	0.3535	4129520	-5787.77978516	1981.18994141
722	848	1344.31872559	2088.50634766	502.40246582	68.06137848	0.35099602	4157180	-1750.37487793	1990.43432617
722	848	1344.46875	2096.1796875	498.03616333	68.0423584	0.34610018	4208900	2287.35644531	2007.88952637
722	848	1344.61755371	2095.87011719	498.21398926	72.66549683	0.3463	4206800	6703.72998047	2007.17004395
722	848	1344.76855469	2091.44995117	500.75100708	71.23560333	0.3491	4176640	11306.90039063	1997
722	848	1344.91845703	2088.49	502.41101074	68.10140228	0.351	4156940	15910.09960938	1990.4
722	848	1345.07067871	2084.8659668	504.45437622	68.26805115	0.35320261	4133020	20513.34375	1982.34069824
722	848	1345.22265625	2079.72167969	507.38088989	65.13912201	0.35639879	4098930	25116.546875	1970.91418457
722	848	1345.37463379	2082.04003906	506.06399536	66.38749695	0.3549	4114200	29716	1976.0300293
722	848	1345.5255127	2082.56005859	505.79699707	68.27559662	0.3546	4117390	34362.19921875	1977.07995605
722	848	1345.6776123	2084.0300293	504.95300293	69.77839661	0.3538	4127270	39049	1980.38
722	848	1345.82775879	2092.71386719	500.00579834	71.14553833	0.34829757	4185400	43735.9140625	1999.9786377
722	848	1345.97668457	2097.46972656	497.29907227	76.84519958	0.3453	4217730	48422.8125	2010.85961914
722	848	1346.12561035	2097.35009766	497.362	81.51059723	0.3454	4216950	53105.8984375	2010.60998535
722	848	1346.2746582	2097.76	497.14898682	81.13130188	0.3452	4219590	57792.69921875	2011.4699707
722	848	1346.42456055	2097.35009766	497.41101074	79.8167038	0.3454	4216590	62355	2010.41003418
722	848	1346.57470703	2088.51391602	502.39871216	75.66589355	0.35089746	4157070	66678.8125	1990.44909668
722	848	1346.72460938	2093.51391602	499.56982422	72.70788574	0.34779763	4190620	71002.6171875	2001.72839355
722	848	1346.87353516	2098.16992188	496.93301392	69.6167984	0.3449	4222240	75323	2012.33996582
722	848	1347.0234375	2095.31005859	498.55099487	69.3065033	0.3467	4202820	79646.796875	2005.8
722	848	1347.17443848	2088.54003906	502.39401245	75.31289673	0.3509	4157180	83970.6015625	1990.4699707
722	848	1347.32568359	2084.50341797	504.67001343	73.38019562	0.35339779	4130410	88180.1328125	1981.48803711
722	848	1347.4765625	2088.80419922	502.21777344	73.50136566	0.35069752	4159130	91776.0234375	1991.17895508
722	848	1347.62646484	2093.7	499.44299316	75.1765976	0.3477	4192080	95369	2002.22998047
722	848	1347.7755127	2098.62988281	496.67700195	74.23370361	0.3446	4225350	98964.796875	2013.39001465
722	848	1347.92346191	2102.02001953	494.72799683	75.22290039	0.3425	4248840	102561	2021.31005859
722	848	1348.07263184	2099.03027344	496.44589233	71.0710144	0.34439984	4228110	106156.9296875	2014.32043457
722	848	1348.22167969	2099.1652832	496.33972168	71.22280884	0.34420308	4229320	109752.1328125	2014.73901367
722	848	1348.37145996	2093.26	499.69799805	73.56569672	0.348	4189080	112381	2001.20996094
722	848	1348.52246094	2087.45996094	502.98901367	80.60479736	0.3516	4150130	114982	1988.12
722	848	1348.67358398	2087.49	503.00299072	91.51339722	0.3516	4150060	117582	1988.06005859
722	848	1348.82275391	2093.82641602	499.38598633	90.37223053	0.34760222	4192880	120182.1171875	2002.46191406
722	848	1348.97363281	2089.51928711	501.84036255	80.9439621	0.35030043	4163760	122783.1171875	1992.66845703
722	848	1349.12353516	2088.65991211	502.33700562	71.55870056	0.3508	4157890	125381	1990.7
722	848	1349.2734375	2095.55004883	498.41400146	65.99340057	0.3465	4204530	127083	2006.35998535
722	848	1349.42346191	2093.41992188	499.61898804	64.25740051	0.3479	4190070	128531	2001.5300293
722	848	1349.57373047	2093.8737793	499.38299561	59.19215775	0.34759772	4192900	129979.1796875	2002.46826172
722	848	1349.72277832	2098.33642578	496.84524536	54.47760391	0.34479594	4223320	131428.171875	2012.71520996
722	848	1349.8704834	2106.34008789	492.27700806	53.75090027	0.3398	4278890	132875	2031.38
722	848	1350.0144043	2124.4699707	481.98300171	54.63019943	0.3285	4408550	134324	2074.79003906
722	848	1350.1574707	2136.27001953	475.26800537	55.224	0.3211	4495000	135216	2104.08007813
722	848	1350.29858398	2141.26879883	472.44955444	54.43834686	0.318	4532300	135551.265625	2116.62744141
722	848	1350.44067383	2140.0859375	473.10235596	51.42090607	0.31870258	4523560	135887.265625	2113.69946289
722	848	1350.58349609	2134.9699707	476.02200317	51.18059921	0.3219	4485100	136222	2100.74
722	848	1350.72753906	2129.54003906	479.12399292	53.042	0.3253	4444700	136557	2087.12988281
722	848	1350.87158203	2124.5	481.95599365	51.90039825	0.3284	4408140	136892	2074.87988281
722	848	1351.01757813	2119.22827148	484.94903564	54.15094376	0.33170122	4370070	137107.484375	2062.07543945
722	848	1351.16369629	2116.91918945	486.25939941	57.52233124	0.33320042	4353480	136473.484375	2056.51831055
722	848	1351.30957031	2116.1	486.72799683	61.61309814	0.3337	4347620	135840	2054.54003906
722	848	1351.45544434	2113.84008789	488.01599121	63.15330124	0.3351	4331520	135207	2049.11010742
722	848	1351.60253906	2111.02001953	489.61898804	59.2602005	0.3368	4311580	134573	2042.4
722	848	1351.74951172	2108.6809082	490.94644165	55.49320602	0.33829939	4295130	133939.484375	2036.88220215
722	848	1351.89660645	2109.84326172	490.28817749	55.62405396	0.33759803	4303270	133305.015625	2039.62756348
722	848	1352.0435791	2113.8	488.04	58.265	0.3352	4331240	132084	2049.01
722	848	1352.18859863	2119.25	484.95001221	58.92309952	0.3318	4370150	130696	2062.08007813
722	848	1352.33349609	2124.77001953	481.83099365	56.8132019	0.3283	4409810	129308	2075.41992188
722	848	1352.47766113	2124.85546875	481.76855469	57.80276108	0.32820278	4410600	127919.8671875	2075.68896484
722	848	1352.62365723	2119.31835938	484.90896606	60.82645798	0.33160114	4370660	126532.8671875	2062.23608398
722	848	1352.76965332	2117.20996094	486.11401367	58.68759918	0.333	4355410	125146	2057.12988281
722	848	1352.91455078	2120.42993164	484.25900269	54.585	0.331	4378730	123543	2065.01
722	848	1353.05957031	2121.34008789	483.74398804	54.09619904	0.3304	4385270	121661	2067.20996094
722	848	1353.20458984	2120.83862305	484.05389404	53.87695694	0.33070099	4381420	119780.46875	2065.88623047
722	848	1353.35070801	2118.98608398	485.10723877	54.31967545	0.33190244	4368140	117899.46875	2061.39013672
722	848	1353.49658203	2114.05004883	487.90200806	57.11349869	0.3349	4333040	116019	2049.59008789
722	848	1353.64343262	2109.5300293	490.46398926	58.883	0.3378	4301090	114138	2038.89001465
722	848	1353.79150391	2110.31005859	490.04699707	58.23089981	0.3373	4306330	112232	2040.62
722	848	1353.93774414	2111.12084961	489.57159424	54.84692383	0.33679962	4312170	110082.25	2042.6015625
722	848	1354.0847168	2111.88037109	489.1257019	51.55702209	0.33629966	4317660	107933.25	2044.46118164
722	848	1354.23144531	2112.55004883	488.763	50.10850143	0.3359	4322260	105786	2045.97998047
722	848	1354.37841797	2108.04003906	491.31201172	53.67779922	0.3387	4290850	103636	2035.34997559
722	848	1354.52746582	2098.47998047	496.724	58.40679932	0.3447	4224650	101487	2013.18994141
722	848	1354.6776123	2096.26879883	497.97766113	59.33440399	0.34610072	4209580	99337.4296875	2008.1171875
722	848	1354.82653809	2094.84130859	498.81539917	57.74454498	0.347	4199630	97154.515625	2004.75244141
722	848	1354.97644043	2096.18994141	498.069	58.908	0.3462	4208660	94967.1015625	2007.75
