Inline	Crossline	Time(ms)	Vp(Meter/second)	P_Impedance_rel(Kg/m2s)	P_Impedance(Kg/m2s)	Porosity(fraction)	Gamma_Ray(API)	Sonic(us/m)	Density(kg/m3)
442	1007	542.17749023	2012.85131836	-218332.8125	4223833	0.34568402	72.47948456	497.63821411	2096.90551758
442	1007	542.33703613	2012.85742188	-219174.96875	4223853	0.34569436	72.42936707	497.64770508	2096.88867188
442	1007	542.49676514	2012.9050293	-219878.65625	4223996	0.34569377	72.37838745	497.6472168	2096.8894043
442	1007	542.65643311	2012.99389648	-220442.09375	4224262.5	0.34568217	72.32653046	497.6368103	2096.90795898
442	1007	542.815979	2013.12414551	-220863.1875	4224650.5	0.34565958	72.2738266	497.61630249	2096.94384766
442	1007	542.97564697	2013.29602051	-221141.140625	4225163.5	0.34562594	72.22015381	497.58578491	2096.99755859
442	1007	543.13525391	2013.50939941	-221274.390625	4225799	0.3455812	72.16553497	497.54525757	2097.06884766
442	1007	543.29492188	2013.76464844	-221261.921875	4226559	0.34552538	72.10984039	497.49456787	2097.15795898
442	1007	543.45458984	2014.06201172	-221102.578125	4227443.5	0.34545836	72.05299377	497.43374634	2097.26513672
442	1007	543.61413574	2014.401	-220795.859375	4228453.5	0.34538019	71.99501801	497.36276245	2097.38989258
442	1007	543.77380371	2014.78234863	-220340.4375	4229588.5	0.34529078	71.9357605	497.28158569	2097.53271484
442	1007	543.93341064	2015.20568848	-219736.609375	4230848.5	0.34519023	71.87527466	497.19024658	2097.69360352
442	1007	544.09307861	2015.67138672	-218983.171875	4232233.5	0.34507841	71.81342316	497.08868408	2097.87231445
442	1007	544.25274658	2016.17919922	-218079.65625	4233745	0.34495533	71.75016022	496.97689819	2098.06933594
442	1007	544.41229248	2016.72900391	-217027.1875	4235380	0.34482118	71.68550873	496.8550415	2098.28344727
442	1007	544.57202148	2017.32104492	-215823.875	4237141.5	0.34467575	71.61932373	496.72293091	2098.51611328
442	1007	544.73156738	2017.95422363	-214471.953125	4239024.5	0.34451941	71.55167389	496.58087158	2098.76611328
442	1007	544.89123535	2018.62902832	-212970.015625	4241032	0.34435198	71.48243713	496.42877197	2099.03369141
442	1007	545.05090332	2019.34521484	-211318.28125	4243162	0.34417355	71.41158295	496.26669312	2099.3190918
442	1007	545.21051025	2020.10144043	-209519.546875	4245410.5	0.34398445	71.33918762	496.09484863	2099.62158203
442	1007	545.37017822	2020.8984375	-207571.390625	4247781	0.34378448	71.26508331	495.91317749	2099.94140625
442	1007	545.52972412	2021.73474121	-205477.953125	4250268	0.34357411	71.18937683	495.72201538	2100.27783203
442	1007	545.68939209	2022.6105957	-203237.609375	4252872	0.34335318	71.11194611	495.52124023	2100.63110352
442	1007	545.84906006	2023.52563477	-200851.328125	4255593	0.34312186	71.03277588	495.31106567	2101.0012207
442	1007	546.00866699	2024.47766113	-198323.4375	4258424	0.34288055	70.95195007	495.09176636	2101.38696289
442	1007	546.16833496	2025.46789551	-195651.078125	4261368	0.34262908	70.86933899	494.86325073	2101.7890625
442	1007	546.32788086	2026.49389648	-192840.25	4264419	0.3423681	70.7850647	494.62609863	2102.20678711
442	1007	546.48754883	2027.5559082	-189889.15625	4267576.5	0.34209746	70.69902802	494.38015747	2102.63964844
442	1007	546.64727783	2028.65356445	-186799.421875	4270839.5	0.34181735	70.61120605	494.12561035	2103.08740234
442	1007	546.80682373	2029.78393555	-183576.875	4274201	0.34152833	70.52172089	493.86297607	2103.55004883
442	1007	546.9664917	2030.94873047	-180218.234375	4277664	0.34123018	70.4303894	493.59204102	2104.02709961
442	1007	547.1260376	2032.14501953	-176731.234375	4281220.5	0.34092358	70.3373642	493.31338501	2104.51733398
442	1007	547.28570557	2033.37341309	-173113.9375	4284872	0.34060836	70.24250793	493.0269165	2105.02148438
442	1007	547.44543457	2034.6328125	-169368.609375	4288616	0.34028479	70.1457901	492.73284912	2105.53930664
442	1007	547.60498047	2035.92089844	-165502.484375	4292445.5	0.33995354	70.04730988	492.43182373	2106.0690918
442	1007	547.76464844	2037.23864746	-161511.875	4296363	0.33961427	69.94689178	492.12347412	2106.61157227
442	1007	547.92419434	2038.58300781	-157406.109375	4300359.5	0.33926785	69.84465027	491.8086853	2107.16601563
442	1007	548.08392334	2039.9543457	-153183.09375	4304436	0.33891416	69.740448	491.48721313	2107.73193359
442	1007	548.24359131	2041.35168457	-148845.703125	4308590	0.33855343	69.63427734	491.15936279	2108.30883789
442	1007	548.40313721	2042.77209473	-144402.4375	4312812	0.33818641	69.52629089	490.82583618	2108.89599609
442	1007	548.56280518	2044.2166748	-139849.234375	4317106.5	0.33781284	69.41632843	490.48632813	2109.49365234
442	1007	548.72241211	2045.68261719	-135196.859375	4321464	0.33743355	69.30463409	490.14157104	2110.10058594
442	1007	548.88208008	2047.17016602	-130443.0703125	4325885.5	0.33704829	69.19111633	489.79147339	2110.71679688
442	1007	549.04174805	2048.67871094	-125591.2421875	4330369.5	0.33665738	69.07583618	489.43621826	2111.34204102
442	1007	549.20129395	2050.20507813	-120651.0078125	4334907	0.33626157	68.95900726	489.07644653	2111.9753418
442	1007	549.36096191	2051.75097656	-115617.9375	4339501.5	0.33586046	68.84049225	488.71191406	2112.61743164
442	1007	549.52056885	2053.31225586	-110504.0703125	4344143	0.33545503	68.72055054	488.34344482	2113.265625
442	1007	549.68023682	2054.89038086	-105306.984375	4348833.5	0.33504513	68.59912109	487.97088623	2113.92163086
442	1007	549.83990479	2056.48339844	-100030.515625	4353569	0.33463103	68.47626495	487.59454346	2114.58398438
442	1007	550	2058.08862305	-94685.171875	4358340	0.33421358	68.35220337	487.21511841	2115.25195313
442	1007	550.15917969	2059.70727539	-89266.2734375	4363151	0.33379245	68.22680664	486.83239746	2115.92553711
442	1007	550.31872559	2061.33520508	-83786.7890625	4367990	0.33336863	68.10037994	486.44720459	2116.60375977
442	1007	550.47839355	2062.97363281	-78244.2265625	4372860	0.33294195	67.97281647	486.05938721	2117.28637695
442	1007	550.63806152	2064.62133789	-72642.75	4377757	0.33251268	67.84422302	485.66925049	2117.97314453
442	1007	550.79766846	2066.2746582	-66993.546875	4382671.5	0.33208168	67.71482086	485.27752686	2118.66259766
442	1007	550.95733643	2067.93579102	-61291.703125	4387608.5	0.33164859	67.58450317	484.88391113	2119.35546875
442	1007	551.11688232	2069.59985352	-55550.91015625	4392554.5	0.33121443	67.45358276	484.48931885	2120.05029297
442	1007	551.27655029	2071.26831055	-49768.56640625	4397513	0.33077905	67.32202911	484.09359741	2120.74682617
442	1007	551.43621826	2072.93945313	-43949.0703125	4402479.5	0.33034277	67.18996429	483.697052	2121.44482422
442	1007	551.5958252	2074.60986328	-38104.0390625	4407444	0.32990649	67.05769348	483.30056763	2122.14282227
442	1007	551.75549316	2076.28100586	-32228.43359375	4412411	0.32946986	66.9251709	482.90374756	2122.84130859
442	1007	551.91503906	2077.94873047	-26336.33984375	4417368	0.32903394	66.7927475	482.50753784	2123.53881836
442	1007	552.07470703	2079.61401367	-20425.09570313	4422317	0.32859856	66.66041565	482.11184692	2124.23535156
442	1007	552.23443604	2081.27490234	-14499.22363281	4427253.5	0.3281641	66.52832794	481.7170105	2124.93041992
442	1007	552.39398193	2082.9284668	-8570.51269531	4432167	0.32773149	66.39678192	481.3237915	2125.62255859
442	1007	552.5536499	2084.57519531	-2633.85693359	4437061.5	0.3273004	66.26569366	480.9319458	2126.31225586
442	1007	552.7131958	2086.21191406	3296.54248047	4441925	0.3268719	66.13542175	480.54251099	2126.99804688
442	1007	552.8729248	2087.83813477	9223.38964844	4446758.5	0.32644585	66.00593567	480.15530396	2127.6796875
442	1007	553.03259277	2089.453125	15142.14453125	4451557.5	0.32602268	65.87738037	479.77069092	2128.35668945
442	1007	553.19213867	2091.05273438	21041.09765625	4456311.5	0.32560334	65.75003052	479.38952637	2129.02758789
442	1007	553.35180664	2092.63842773	26925.34570313	4461023.5	0.3251875	65.62380981	479.01159668	2129.69311523
442	1007	553.51135254	2094.20556641	32780.875	4465681.5	0.32477629	65.4990387	478.63781738	2130.35083008
442	1007	553.67108154	2095.75537109	38610.40234375	4470286.5	0.32436955	65.37560272	478.26812744	2131.00170898
442	1007	553.83074951	2097.28588867	44409.4921875	4474834.5	0.32396764	65.25351715	477.90283203	2131.64477539
442	1007	553.99029541	2098.79394531	50166.74609375	4479316.5	0.32357147	65.13288116	477.54275513	2132.27856445
442	1007	554.14996338	2100.28051758	55887.1875	4483734.5	0.32318079	65.01342773	477.18765259	2132.90380859
442	1007	554.30957031	2101.74194336	61557.2734375	4488076.5	0.32279658	64.89526367	476.83840942	2133.51855469
442	1007	554.46923828	2103.17797852	67179.71875	4492344	0.32241878	64.77814484	476.49502563	2134.12304688
442	1007	554.62884521	2104.58764648	72750.2734375	4496533	0.32204774	64.66195679	476.1578064	2134.71679688
442	1007	554.78845215	2105.96801758	78258.1328125	4500634.5	0.32168427	64.54672241	475.82739258	2135.29833984
442	1007	554.94818115	2107.31982422	83708.140625	4504652	0.32132807	64.43214417	475.50360107	2135.8684082
442	1007	555.10772705	2108.63989258	89087.5390625	4508574	0.32098007	64.31830597	475.18728638	2136.42504883
442	1007	555.26739502	2109.92871094	94398.96875	4512403.5	0.32064009	64.20497131	474.87826538	2136.96923828
442	1007	555.42700195	2111.18505859	99638.5234375	4516137	0.32030845	64.09205627	474.57678223	2137.5
442	1007	555.58660889	2112.40673828	104796.1484375	4519767	0.31998572	63.97963715	474.28344727	2138.01635742
442	1007	555.74633789	2113.59448242	109876.515625	4523297	0.31967163	63.86746216	473.99795532	2138.51879883
442	1007	555.90588379	2114.74633789	114867.828125	4526718	0.31936693	63.75568771	473.72097778	2139.00634766
442	1007	556.06555176	2115.86181641	119772.703125	4530032	0.3190715	63.64413452	473.45245361	2139.47924805
442	1007	556.22515869	2116.94018555	124587.609375	4533236	0.31878561	63.53279495	473.19259644	2139.93676758
442	1007	556.38482666	2117.97900391	129303.5078125	4536322.5	0.31850988	63.42179489	472.94192505	2140.37792969
442	1007	556.54449463	2118.97924805	133924.75	4539294	0.31824407	63.31095505	472.70031738	2140.80297852
442	1007	556.70404053	2119.93847656	138440.828125	4542144.5	0.31798881	63.20045471	472.46829224	2141.21166992
442	1007	556.8637085	2120.85742188	142854.21875	4544874.5	0.31774393	63.09018707	472.24569702	2141.60351563
442	1007	557.02337646	2121.73535156	147161.9375	4547483	0.31750956	62.98017883	472.03268433	2141.97875977
