Inline	Crossline	Time(ms)	Vp(Meter/second)	P_Impedance_rel(Meter/second x Kg/m3)	P_Impedance(Meter/second x Kg/m3)	Porosity(Fraction)	Gamma_Ray(API)	Sonic(Microseconds/meter)	Density(Kg/m3)
362	336	875.20532227	2149.45922852	-15364.671875	4788275	0.33704588	50.14793777	465.39859009	2110.72558594
362	336	875.34143066	2149.58007813	-13800.5390625	4788775	0.33701178	50.16236496	465.34707642	2110.78027344
362	336	875.4776001	2149.703125	-12238.59570313	4789275.5	0.33697766	50.17614365	465.29553223	2110.83496094
362	336	875.61431885	2149.82983398	-10662.91015625	4789781	0.33694336	50.18929672	465.24395752	2110.88989258
362	336	875.75183105	2149.95874023	-9090.10253906	4790285.5	0.3369092	50.2018013	465.19244385	2110.94433594
362	336	875.89019775	2150.08886719	-7508.12304688	4790793.5	0.33687523	50.21366882	465.14126587	2110.9987793
362	336	876.02874756	2150.22045898	-5922.00634766	4791303.5	0.33684132	50.22491455	465.09033203	2111.05297852
362	336	876.16699219	2150.35327148	-4345.140625	4791810	0.33680764	50.23551559	465.03985596	2111.10693359
362	336	876.30487061	2150.48657227	-2762.01855469	4792320	0.33677393	50.24549866	464.98983765	2111.16088867
362	336	876.44256592	2150.61938477	-1187.93701172	4792827.5	0.33674046	50.25484085	464.94015503	2111.21435547
362	336	876.58056641	2150.75048828	387.61050415	4793336.5	0.33670738	50.26353836	464.89105225	2111.26757813
362	336	876.71936035	2150.88061523	1960.34228516	4793844.5	0.33667445	50.27159119	464.84240723	2111.31982422
362	336	876.85900879	2151.0090332	3518.03076172	4794347	0.336642	50.27897263	464.79440308	2111.37182617
362	336	877	2151.13525391	5073.39208984	4794847	0.33660981	50.28568649	464.74694824	2111.42358398
362	336	877.14117432	2151.25854492	6614.58691406	4795342	0.33657813	50.29173279	464.70022583	2111.47436523
362	336	877.28277588	2151.37768555	8148.53808594	4795833.5	0.33654708	50.29708481	464.65423584	2111.52392578
362	336	877.42486572	2151.49365234	9674	4796322.5	0.33651635	50.30176163	464.60906982	2111.57299805
362	336	877.56726074	2151.60522461	11178.34667969	4796805.5	0.33648631	50.30573654	464.56484985	2111.62109375
362	336	877.70947266	2151.71191406	12671.20605469	4797284.5	0.33645666	50.30902863	464.52157593	2111.66870117
362	336	877.85076904	2151.8137207	14145.53222656	4797758	0.33642769	50.31164551	464.47940063	2111.71459961
362	336	877.99102783	2151.91088867	15603.91503906	4798225	0.33639956	50.31361389	464.43835449	2111.76
362	336	878.13012695	2152.00195313	17047.72460938	4798684.5	0.33637223	50.31495667	464.39859009	2111.80371094
362	336	878.26782227	2152.08691406	18465.359375	4799131.5	0.33634594	50.31570435	464.36010742	2111.84570313
362	336	878.40447998	2152.16455078	19863.76171875	4799567.5	0.33632061	50.31587982	464.32302856	2111.88623047
362	336	878.54125977	2152.23535156	21238.53125	4799989	0.33629641	50.31549454	464.28753662	2111.92480469
362	336	878.67791748	2152.29956055	22589.90429688	4800395	0.33627367	50.31456757	464.25375366	2111.9609375
362	336	878.81488037	2152.35644531	23920.91210938	4800784	0.33625218	50.3131218	464.22192383	2111.99560547
362	336	878.95153809	2152.40576172	25221.13671875	4801152.5	0.33623236	50.31116486	464.19226074	2112.02734375
362	336	879.08813477	2152.44726563	26494.84765625	4801500	0.33621404	50.30870438	464.16485596	2112.05664063
362	336	879.22540283	2152.48022461	27740.81054688	4801825.5	0.33619744	50.30574799	464.14001465	2112.08325195
362	336	879.36431885	2152.50415039	28956.70507813	4802126	0.33618277	50.3022728	464.11773682	2112.10668945
362	336	879.50549316	2152.52001953	30147.13671875	4802403	0.3361699	50.29829025	464.09814453	2112.12719727
362	336	879.64880371	2152.52783203	31302.90820313	4802652	0.33615902	50.29380798	464.0814209	2112.14453125
362	336	879.79187012	2152.52709961	32426.03710938	4802872	0.33615011	50.28883743	464.06762695	2112.15893555
362	336	879.93395996	2152.51782227	33517.97265625	4803061.5	0.33614334	50.28341293	464.0569458	2112.16967773
362	336	880.07312012	2152.50024414	34574.30859375	4803219	0.33613876	50.27755356	464.04949951	2112.17700195
362	336	880.21081543	2152.47265625	35601.015625	4803342.5	0.33613643	50.27127457	464.0453186	2112.1809082
362	336	880.34838867	2152.43603516	36589.734375	4803432.5	0.33613637	50.26460266	464.04452515	2112.18115234
362	336	880.48632813	2152.39086914	37541.359375	4803486	0.33613861	50.25756454	464.04714966	2112.17724609
362	336	880.62451172	2152.33764648	38458.99609375	4803504.5	0.33614331	50.25019073	464.05325317	2112.16992188
362	336	880.7633667	2152.27685547	39337.08984375	4803486.5	0.33615026	50.24251938	464.06271362	2112.15869141
362	336	880.90228271	2152.20751953	40182.21484375	4803432	0.33615965	50.23456192	464.07583618	2112.14379883
362	336	881.04077148	2152.13061523	40987.51953125	4803339.5	0.33617145	50.22635651	464.09243774	2112.12475586
362	336	881.17883301	2152.04394531	41752.27734375	4803209	0.33618566	50.21791077	464.11270142	2112.10205078
362	336	881.31652832	2151.94970703	42480.92578125	4803039.5	0.33620232	50.20925903	464.13665771	2112.07543945
362	336	881.45336914	2151.84765625	43168.046875	4802832	0.33622134	50.20041656	464.16421509	2112.04492188
362	336	881.58959961	2151.73681641	43819.32421875	4802584	0.33624288	50.19138336	464.19552612	2112.01049805
362	336	881.7255249	2151.61791992	44430.1171875	4802296	0.33626676	50.18219376	464.23043823	2111.97216797
362	336	881.86138916	2151.4909668	44999.0078125	4801969.5	0.33629316	50.17283249	464.26901245	2111.92993164
362	336	881.99719238	2151.35644531	45530.62109375	4801601.5	0.3363221	50.16331863	464.31118774	2111.88378906
362	336	882.13287354	2151.21191406	46019.828125	4801196.5	0.33635321	50.15365601	464.35684204	2111.83398438
362	336	882.26873779	2151.05957031	46472.02734375	4800749.5	0.33638671	50.1438446	464.40597534	2111.78027344
362	336	882.40447998	2150.9	46883.6171875	4800267.5	0.33642226	50.13389969	464.45822144	2111.72338867
362	336	882.54052734	2150.73242188	47253.8359375	4799752.5	0.33645996	50.12381744	464.51351929	2111.66308594
362	336	882.67138672	2150.55664063	47586.13671875	4799202	0.33649957	50.1136055	464.57150269	2111.59985352
362	336	882.81347656	2150.37280273	47877.28125	4798625	0.33654076	50.10325623	464.63192749	2111.53369141
362	336	882.95068359	2150.18017578	48130.984375	4798016.5	0.3365835	50.09273148	464.6946106	2111.46557617
362	336	883.08868408	2149.98022461	48345.39453125	4797382.5	0.33662757	50.08203506	464.75915527	2111.39477539
362	336	883.2277832	2149.77246094	48520.1484375	4796728.5	0.33667296	50.0711441	464.82553101	2111.32250977
362	336	883.36791992	2149.55712891	48657.36328125	4796047	0.33671963	50.06008148	464.89352417	2111.24780273
362	336	883.50872803	2149.33496094	48755.53515625	4795348.5	0.33676726	50.04886627	464.96304321	2111.17163086
362	336	883.64959717	2149.10644531	48817.0546875	4794623.5	0.33681589	50.03751373	465.03421021	2111.09350586
362	336	883.79034424	2148.87182617	48841.53125	4793878	0.33686563	50.02607346	465.10687256	2111.01391602
362	336	883.93127441	2148.62817383	48829.58203125	4793116	0.33691636	50.01453781	465.18109131	2110.93286133
362	336	884.07269287	2148.37817383	48781.8515625	4792329	0.33696818	50.00295258	465.25680542	2110.85009766
362	336	884.21466064	2148.12280273	48699.35546875	4791527.5	0.33702078	49.99131393	465.3338623	2110.76586914
362	336	884.35723877	2147.86083984	48581.96484375	4790702.5	0.33707419	49.97961807	465.41238403	2110.68041992
362	336	884.50042725	2147.59228516	48430.62109375	4789858.5	0.33712849	49.96789551	465.49209595	2110.59350586
362	336	884.64459229	2147.31787109	48247.1328125	4788999.5	0.33718351	49.95615387	465.57318115	2110.50561523
362	336	884.78936768	2147.03808594	48030.59765625	4788119	0.33723962	49.9444313	465.65557861	2110.41577148
362	336	884.93444824	2146.75488281	47783.65625	4787223	0.33729646	49.93277359	465.73916626	2110.32470703
362	336	885.0793457	2146.46655273	47505.07421875	4786305	0.33735403	49.9211998	465.82409668	2110.23266602
362	336	885.22369385	2146.17431641	47196.33984375	4785367.5	0.33741251	49.90976715	465.91021729	2110.13916016
362	336	885.36712646	2145.87988281	46860.28515625	4784417	0.33747166	49.89848709	465.99749756	2110.04467773
362	336	885.50964355	2145.58374023	46495.05078125	4783447	0.33753178	49.88739395	466.08575439	2109.94848633
362	336	885.65148926	2145.28442383	46104.328125	4782465.5	0.33759233	49.87649918	466.17480469	2109.8515625
362	336	885.79248047	2144.98364258	45686.15234375	4781467	0.33765325	49.86579895	466.2645874	2109.75390625
362	336	885.93231201	2144.68164063	45242.39453125	4780455	0.33771467	49.85531616	466.35473633	2109.65576172
362	336	886.07122803	2144.38061523	44776.375	4779436	0.33777618	49.84504318	466.44534302	2109.55737305
362	336	886.20837402	2144.07910156	44286.28515625	4778405.5	0.3378382	49.835	466.53619385	2109.45800781
362	336	886.3449707	2143.77709961	43775.68359375	4777368.5	0.33790025	49.82519913	466.6272583	2109.35888672
362	336	886.48181152	2143.47583008	43242.796875	4776319.5	0.33796221	49.8156395	466.71847534	2109.25976563
362	336	886.61932373	2143.17578125	42688.98046875	4775259	0.33802459	49.80634689	466.80984497	2109.15991211
362	336	886.75744629	2142.87890625	42118.5625	4774194.5	0.33808669	49.7973175	466.90130615	2109.06054688
362	336	886.89569092	2142.58203125	41529.60546875	4773120.5	0.33814919	49.78855896	466.99261475	2108.96069336
362	336	887.03405762	2142.28710938	40925.19140625	4772042.5	0.33821154	49.78006363	467.08361816	2108.86083984
362	336	887.17297363	2141.99511719	40304.56640625	4770959	0.33827335	49.77183533	467.17428589	2108.76196289
362	336	887.31323242	2141.70532227	39667.99609375	4769869.5	0.33833516	49.76388931	467.26428223	2108.66308594
362	336	887.45336914	2141.41674805	39020.2109375	4768780.5	0.33839625	49.7562294	467.3536377	2108.56518555
362	336	887.5927124	2141.13085938	38360.01953125	4767690.5	0.33845714	49.74888611	467.4420166	2108.46777344
362	336	887.73046875	2140.84838867	37689.33203125	4766601	0.33851737	49.74185944	467.52944946	2108.37158203
362	336	887.86737061	2140.57080078	37008.5	4765512.5	0.33857661	49.73516846	467.61599731	2108.27661133
362	336	888.00390625	2140.29663086	36316.96484375	4764422.5	0.33863544	49.72883606	467.7013855	2108.18261719
362	336	888.14050293	2140.02612305	35619.6015625	4763338.5	0.33869308	49.72286987	467.78570557	2108.09033203
362	336	888.27740479	2139.76074219	34916.078125	4762260	0.33875015	49.71728134	467.86880493	2108
362	336	888.41583252	2139.50146484	34206.921875	4761186.5	0.33880618	49.71210098	467.95050049	2107.90917969
362	336	888.55566406	2139.24633789	33493.79296875	4760121	0.33886078	49.70732117	468.03082275	2107.82202148
362	336	888.69659424	2138.99682617	32775.0625	4759061	0.33891448	49.70295334	468.10952759	2107.73632813
362	336	888.83843994	2138.75268555	32055.56640625	4758013	0.33896661	49.69900131	468.18664551	2107.65283203
362	336	888.98022461	2138.51489258	31336.1484375	4756977	0.33901778	49.69548035	468.26190186	2107.57080078
362	336	889.12194824	2138.28271484	30615.56640625	4755952	0.33906761	49.69238281	468.33529663	2107.49121094
362	336	889.26391602	2138.05541992	29897.16992188	4754941.5	0.33911577	49.68972015	468.40689087	2107.4140625
362	336	889.40539551	2137.83496094	29177.86914063	4753941	0.3391628	49.68747711	468.47640991	2107.33886719
362	336	889.54602051	2137.62255859	28462.75585938	4752956	0.33920822	49.68564224	468.54397583	2107.26635742
362	336	889.68530273	2137.41894531	27753.31640625	4751988.5	0.33925235	49.68418884	468.60952759	2107.19555664
362	336	889.82226563	2137.22290039	27047.27929688	4751034.5	0.33929509	49.68309021	468.67300415	2107.12695313
362	336	889.95483398	2137.03442383	26348.8515625	4750099.5	0.3393361	49.68231964	468.73434448	2107.06152344
362	336	890.09240723	2136.85449219	25653.95898438	4749177	0.3393757	49.6818428	468.79345703	2106.99829102
362	336	890.22827148	2136.68334961	24967.56835938	4748273.5	0.33941358	49.68161774	468.85028076	2106.9375
362	336	890.36669922	2136.52026367	24292.35351563	4747392.5	0.33945	49.68161392	468.90475464	2106.87939453
362	336	890.50701904	2136.36694336	23624.10546875	4746525.5	0.33948478	49.68179321	468.95672607	2106.82373047
362	336	890.64849854	2136.22241211	22968.7265625	4745681	0.33951777	49.68213272	469.0062561	2106.77075195
362	336	890.78955078	2136.08642578	22321.234375	4744849.5	0.33954918	49.68261719	469.05331421	2106.72070313
362	336	890.92938232	2135.95800781	21685.8359375	4744037	0.3395789	49.68322754	469.09790039	2106.6730957
362	336	891.06799316	2135.83764648	21066.16210938	4743248	0.33960712	49.68395615	469.14001465	2106.62792969
362	336	891.20587158	2135.72509766	20456.97460938	4742473.5	0.33963364	49.68479538	469.17950439	2106.58544922
362	336	891.34405518	2135.62060547	19864.85546875	4741723.5	0.33965838	49.68573761	469.2164917	2106.54589844
362	336	891.4831543	2135.52612305	19284.22070313	4740992	0.33968136	49.68676758	469.25067139	2106.50927734
362	336	891.62408447	2135.43847656	18719.35742188	4740283	0.33970246	49.68790054	469.28207397	2106.4753418
362	336	891.76672363	2135.35839844	18173.52539063	4739602	0.33972168	49.68912888	469.31060791	2106.44458008
362	336	891.91046143	2135.28588867	17641.70507813	4738942.5	0.33973894	49.69047165	469.33605957	2106.41699219
362	336	892.05548096	2135.22094727	17129.92773438	4738312.5	0.33975407	49.69190979	469.35845947	2106.39282227
362	336	892.20147705	2135.16308594	16633.30859375	4737706.5	0.3397671	49.69343567	469.37771606	2106.37182617
362	336	892.34954834	2135.11352539	16155.1015625	4737128	0.33977807	49.69504166	469.39382935	2106.35449219
362	336	892.49871826	2135.0715332	15699.06542969	4736582.5	0.33978689	49.69671249	469.40667725	2106.34008789
362	336	892.64727783	2135.03686523	15259.68652344	4736061.5	0.33979359	49.69843674	469.41650391	2106.32958984
362	336	892.7946167	2135.00952148	14842.77734375	4735572	0.33979824	49.70021057	469.42321777	2106.32177734
362	336	892.9407959	2134.98925781	14443.85058594	4735108	0.33980089	49.70203781	469.42694092	2106.31762695
362	336	893.08624268	2134.97631836	14065.60546875	4734671.5	0.33980164	49.70391083	469.42773438	2106.31665039
362	336	893.23120117	2134.9699707	13710.69628906	4734264.5	0.33980048	49.70583344	469.42565918	2106.31835938
362	336	893.37609863	2134.97167969	13375.49707031	4733882.5	0.33979747	49.70779419	469.42089844	2106.32324219
362	336	893.52093506	2134.98071289	13063.71191406	4733529.5	0.33979267	49.70979691	469.41345215	2106.33105469
362	336	893.66607666	2134.99633789	12772.65722656	4733202.5	0.33978611	49.71183777	469.40332031	2106.34130859
362	336	893.81207275	2135.01855469	12503.75488281	4732903	0.33977783	49.71391678	469.39047241	2106.35449219
362	336	893.95703125	2135.04711914	12259.05957031	4732633.5	0.33976772	49.71602631	469.37490845	2106.37084961
362	336	894.10070801	2135.08227539	12036.40820313	4732392	0.33975583	49.71817017	469.35650635	2106.38989258
362	336	894.24450684	2135.12451172	11837.5703125	4732181.5	0.33974215	49.72035217	469.33532715	2106.41186523
362	336	894.38781738	2135.17456055	11661.47167969	4732000	0.33972672	49.72256088	469.31149292	2106.4362793
362	336	894.53118896	2135.23144531	11508.63476563	4731848	0.33970937	49.72478104	469.28488159	2106.46411133
362	336	894.67449951	2135.2956543	11380.21582031	4731727	0.33969036	49.72700119	469.25570679	2106.49462891
362	336	894.81726074	2135.36694336	11275.2109375	4731635	0.33966947	49.72919083	469.22390747	2106.52807617
362	336	894.95996094	2135.44506836	11194.32128906	4731572.5	0.33964688	49.73134232	469.18954468	2106.56445313
362	336	895.10217285	2135.53027344	11137.19238281	4731539	0.33962274	49.73344803	469.152771	2106.60302734
362	336	895.24371338	2135.62353516	11104.05664063	4731535.5	0.33959678	49.73550797	469.11349487	2106.64428711
362	336	895.38464355	2135.72412109	11095.1171875	4731560.5	0.33956942	49.73752975	469.07174683	2106.68823242
362	336	895.526	2135.83154297	11110.22753906	4731616	0.3395403	49.73950195	469.02780151	2106.73486328
362	336	895.66821289	2135.94458008	11149.35742188	4731700	0.33950973	49.74143982	468.98147583	2106.78369141
362	336	895.81005859	2136.06396484	11212.56054688	4731812.5	0.3394779	49.74334335	468.9331665	2106.83447266
362	336	895.95117188	2136.18969727	11300.05175781	4731954	0.33944458	49.74520874	468.88284302	2106.88769531
362	336	896.09100342	2136.32128906	11411.16015625	4732122.5	0.33941025	49.74702072	468.83059692	2106.94287109
362	336	896.22906494	2136.45874023	11546.17089844	4732317.5	0.3393746	49.74880219	468.7769165	2107
